X,Delta_g
-1286.1,0.00363175
-1282.76,0.00364287
-1279.43,0.00365404
-1276.09,0.00366525
-1272.76,0.0036765
-1269.42,0.0036878
-1266.09,0.00369915
-1262.75,0.00371054
-1259.42,0.00372198
-1256.09,0.00373346
-1252.75,0.003745
-1249.42,0.00375657
-1246.08,0.0037682
-1242.75,0.00377987
-1239.41,0.00379159
-1236.08,0.00380336
-1232.74,0.00381518
-1229.41,0.00382704
-1226.08,0.00383895
-1222.74,0.00385092
-1219.41,0.00386293
-1216.07,0.00387499
-1212.74,0.0038871
-1209.4,0.00389926
-1206.07,0.00391147
-1202.73,0.00392373
-1199.4,0.00393604
-1196.07,0.0039484
-1192.73,0.00396081
-1189.4,0.00397327
-1186.06,0.00398579
-1182.73,0.00399835
-1179.39,0.00401097
-1176.06,0.00402364
-1172.72,0.00403636
-1169.39,0.00404914
-1166.06,0.00406197
-1162.72,0.00407485
-1159.39,0.00408779
-1156.05,0.00410078
-1152.72,0.00411382
-1149.38,0.00412692
-1146.05,0.00414007
-1142.71,0.00415328
-1139.38,0.00416654
-1136.05,0.00417986
-1132.71,0.00419323
-1129.38,0.00420666
-1126.04,0.00422015
-1122.71,0.00423369
-1119.37,0.0042473
-1116.04,0.00426095
-1112.7,0.00427467
-1109.37,0.00428844
-1106.04,0.00430227
-1102.7,0.00431616
-1099.37,0.00433011
-1096.03,0.00434411
-1092.7,0.00435818
-1089.36,0.00437231
-1086.03,0.00438649
-1082.69,0.00440074
-1079.36,0.00441504
-1076.03,0.00442941
-1072.69,0.00444384
-1069.36,0.00445833
-1066.02,0.00447288
-1062.69,0.00448749
-1059.35,0.00450217
-1056.02,0.0045169
-1052.68,0.0045317
-1049.35,0.00454657
-1046.02,0.0045615
-1042.68,0.00457649
-1039.35,0.00459154
-1036.01,0.00460666
-1032.68,0.00462185
-1029.34,0.0046371
-1026.01,0.00465242
-1022.67,0.0046678
-1019.34,0.00468325
-1016.01,0.00469876
-1012.67,0.00471434
-1009.34,0.00472999
-1006,0.00474571
-1002.67,0.00476149
-999.333,0.00477735
-995.999,0.00479327
-992.664,0.00480926
-989.33,0.00482532
-985.995,0.00484145
-982.661,0.00485765
-979.326,0.00487392
-975.992,0.00489026
-972.658,0.00490667
-969.323,0.00492316
-965.989,0.00493971
-962.654,0.00495634
-959.32,0.00497304
-955.985,0.00498982
-952.651,0.00500666
-949.316,0.00502358
-945.982,0.00504058
-942.648,0.00505765
-939.313,0.00507479
-935.979,0.00509201
-932.644,0.00510931
-929.31,0.00512668
-925.975,0.00514413
-922.641,0.00516166
-919.306,0.00517926
-915.972,0.00519694
-912.638,0.0052147
-909.303,0.00523253
-905.969,0.00525045
-902.634,0.00526844
-899.3,0.00528652
-895.965,0.00530467
-892.631,0.00532291
-889.296,0.00534123
-885.962,0.00535962
-882.628,0.0053781
-879.293,0.00539667
-875.959,0.00541531
-872.624,0.00543404
-869.29,0.00545285
-865.955,0.00547174
-862.621,0.00549072
-859.286,0.00550979
-855.952,0.00552894
-852.618,0.00554817
-849.283,0.0055675
-845.949,0.00558691
-842.614,0.0056064
-839.28,0.00562598
-835.945,0.00564566
-832.611,0.00566542
-829.276,0.00568526
-825.942,0.0057052
-822.608,0.00572523
-819.273,0.00574535
-815.939,0.00576556
-812.604,0.00578586
-809.27,0.00580625
-805.935,0.00582673
-802.601,0.00584731
-799.266,0.00586798
-795.932,0.00588875
-792.598,0.0059096
-789.263,0.00593056
-785.929,0.00595161
-782.594,0.00597275
-779.26,0.00599399
-775.925,0.00601533
-772.591,0.00603676
-769.256,0.00605829
-765.922,0.00607992
-762.588,0.00610165
-759.253,0.00612348
-755.919,0.00614541
-752.584,0.00616744
-749.25,0.00618956
-745.915,0.00621179
-742.581,0.00623413
-739.246,0.00625656
-735.912,0.0062791
-732.578,0.00630174
-729.243,0.00632449
-725.909,0.00634734
-722.574,0.00637029
-719.24,0.00639335
-715.905,0.00641652
-712.571,0.00643979
-709.236,0.00646317
-705.902,0.00648666
-702.568,0.00651026
-699.233,0.00653397
-695.899,0.00655778
-692.564,0.00658171
-689.23,0.00660575
-685.895,0.0066299
-682.561,0.00665416
-679.226,0.00667853
-675.892,0.00670302
-672.558,0.00672762
-669.223,0.00675233
-665.889,0.00677716
-662.554,0.00680211
-659.22,0.00682717
-655.885,0.00685235
-652.551,0.00687764
-649.216,0.00690306
-645.882,0.00692859
-642.548,0.00695424
-639.213,0.00698001
-635.879,0.0070059
-632.544,0.00703191
-629.21,0.00705805
-625.875,0.00708431
-622.541,0.00711069
-619.206,0.00713719
-615.872,0.00716382
-612.538,0.00719057
-609.203,0.00721745
-605.869,0.00724446
-602.534,0.00727159
-599.2,0.00729885
-595.865,0.00732624
-592.531,0.00735375
-589.196,0.0073814
-585.862,0.00740918
-582.528,0.00743709
-579.193,0.00746513
-575.859,0.0074933
-572.524,0.0075216
-569.19,0.00755004
-565.855,0.00757862
-562.521,0.00760732
-559.186,0.00763617
-555.852,0.00766515
-552.518,0.00769427
-549.183,0.00772353
-545.849,0.00775292
-542.514,0.00778246
-539.18,0.00781213
-535.845,0.00784195
-532.511,0.0078719
-529.176,0.007902
-525.842,0.00793225
-522.508,0.00796263
-519.173,0.00799316
-515.839,0.00802384
-512.504,0.00805466
-509.17,0.00808563
-505.835,0.00811675
-502.501,0.00814801
-499.166,0.00817943
-495.832,0.00821099
-492.497,0.00824271
-489.163,0.00827458
-485.829,0.00830659
-482.494,0.00833877
-479.16,0.00837109
-475.825,0.00840357
-472.491,0.00843621
-469.156,0.008469
-465.822,0.00850195
-462.487,0.00853505
-459.153,0.00856832
-455.819,0.00860174
-452.484,0.00863533
-449.15,0.00866907
-445.815,0.00870298
-442.481,0.00873705
-439.146,0.00877129
-435.812,0.00880568
-432.477,0.00884025
-429.143,0.00887498
-425.809,0.00890987
-422.474,0.00894494
-419.14,0.00898017
-415.805,0.00901557
-412.471,0.00905114
-409.136,0.00908688
-405.802,0.0091228
-402.467,0.00915889
-399.133,0.00919515
-395.799,0.00923158
-392.464,0.00926819
-389.13,0.00930498
-385.795,0.00934195
-382.461,0.00937909
-379.126,0.00941641
-375.792,0.00945391
-372.457,0.00949159
-369.123,0.00952946
-365.789,0.0095675
-362.454,0.00960573
-359.12,0.00964415
-355.785,0.00968275
-352.451,0.00972153
-349.116,0.0097605
-345.782,0.00979966
-342.447,0.00983901
-339.113,0.00987855
-335.779,0.00991828
-332.444,0.0099582
-329.11,0.00999832
-325.775,0.0100386
-322.441,0.0100791
-319.106,0.0101198
-315.772,0.0101607
-312.437,0.0102018
-309.103,0.0102431
-305.769,0.0102846
-302.434,0.0103263
-299.1,0.0103682
-295.765,0.0104103
-292.431,0.0104525
-289.096,0.010495
-285.762,0.0105377
-282.427,0.0105807
-279.093,0.0106238
-275.759,0.0106671
-272.424,0.0107106
-269.09,0.0107544
-265.755,0.0107983
-262.421,0.0108425
-259.086,0.0108869
-255.752,0.0109315
-252.417,0.0109763
-249.083,0.0110213
-245.749,0.0110665
-242.414,0.011112
-239.08,0.0111577
-235.745,0.0112035
-232.411,0.0112497
-229.076,0.011296
-225.742,0.0113426
-222.407,0.0113893
-219.073,0.0114363
-215.739,0.0114836
-212.404,0.011531
-209.07,0.0115787
-205.735,0.0116266
-202.401,0.0116748
-199.066,0.0117232
-195.732,0.0117718
-192.397,0.0118206
-189.063,0.0118697
-185.729,0.011919
-182.394,0.0119685
-179.06,0.0120183
-175.725,0.0120683
-172.391,0.0121186
-169.056,0.0121691
-165.722,0.0122198
-162.387,0.0122708
-159.053,0.0123221
-155.719,0.0123735
-152.384,0.0124252
-149.05,0.0124772
-145.715,0.0125294
-142.381,0.0125819
-139.046,0.0126346
-135.712,0.0126875
-132.377,0.0127407
-129.043,0.0127942
-125.709,0.0128479
-122.374,0.0129018
-119.04,0.0129561
-115.705,0.0130105
-112.371,0.0130653
-109.036,0.0131203
-105.702,0.0131755
-102.367,0.013231
-99.033,0.0132868
-95.6986,0.0133428
-92.3641,0.0133991
-89.0297,0.0134557
-85.6952,0.0135125
-82.3608,0.0135696
-79.0263,0.013627
-75.6919,0.0136846
-72.3575,0.0137425
-69.023,0.0138007
-65.6886,0.0138591
-62.3541,0.0139178
-59.0197,0.0139768
-55.6852,0.0140361
-52.3508,0.0140956
-49.0163,0.0141554
-45.6819,0.0142155
-42.3474,0.0142758
-39.013,0.0143365
-35.6786,0.0143974
-32.3441,0.0144586
-29.0097,0.0145201
-25.6752,0.0145819
-22.3408,0.0146439
-19.0063,0.0147063
-15.6719,0.0147689
-12.3374,0.0148318
-9.003,0.014895
-5.66856,0.0149585
-2.33411,0.0150223
1.00033,0.0150863
4.33478,0.0151507
7.66922,0.0152153
11.0037,0.0152803
14.3381,0.0153455
17.6726,0.015411
21.007,0.0154769
24.3414,0.015543
27.6759,0.0156094
31.0103,0.0156761
34.3448,0.0157431
37.6792,0.0158105
41.0137,0.0158781
44.3481,0.015946
47.6826,0.0160142
51.017,0.0160827
54.3515,0.0161516
57.6859,0.0162207
61.0203,0.0162901
64.3548,0.0163599
67.6892,0.0164299
71.0237,0.0165003
74.3581,0.016571
77.6926,0.0166419
81.027,0.0167132
84.3615,0.0167848
87.6959,0.0168567
91.0303,0.0169289
94.3648,0.0170015
97.6992,0.0170743
101.034,0.0171475
104.368,0.0172209
107.703,0.0172947
111.037,0.0173688
114.371,0.0174433
117.706,0.017518
121.04,0.0175931
124.375,0.0176684
127.709,0.0177441
131.044,0.0178201
134.378,0.0178965
137.713,0.0179731
141.047,0.0180501
144.381,0.0181274
147.716,0.018205
151.05,0.0182829
154.385,0.0183612
157.719,0.0184398
161.054,0.0185187
164.388,0.0185979
167.723,0.0186775
171.057,0.0187574
174.391,0.0188376
177.726,0.0189181
181.06,0.018999
184.395,0.0190802
187.729,0.0191617
191.064,0.0192435
194.398,0.0193257
197.733,0.0194082
201.067,0.019491
204.401,0.0195741
207.736,0.0196576
211.07,0.0197414
